Cidade,Area_Captacao_m2,Volume_Reservatorio_L,Eficiencia_Global_Percentual
500,200,2000,51.5773753966772
500,200,3000,60.1269367183125
500,200,4000,66.3431024827329
500,200,5000,71.1405637483666
500,200,6000,74.7433264887064
500,200,7000,77.6180698151951
500,200,8000,79.8954638790368
500,200,9000,81.6688445025201
500,200,10000,83.199551988053
500,200,20000,91.4877730072802
500,200,30000,94.6798581295501
500,200,40000,96.9572521933918
500,200,50000,98.1332835542281
500,300,500,31.5288407690872
500,300,1000,40.5450812021654
500,300,2000,54.4147843942505
500,300,3000,64.2523800634684
500,300,4000,71.6259100242673
500,300,5000,77.1887250326675
500,300,6000,81.3328355422811
500,300,7000,84.6182564868397
500,300,8000,87.1569908530894
500,300,9000,89.1170431211499
500,300,10000,90.573081948852
500,300,20000,97.610602949412
500,300,30000,99.4959865596416
500,300,40000,100.0
500,300,50000,100.0
500,400,500,31.8275154004107
500,400,1000,41.3851036027627
500,400,2000,55.9641590442412
500,400,3000,66.4924397983946
500,400,4000,74.1646443905171
500,400,5000,80.1381370169871
500,400,6000,84.4689191711779
500,400,7000,87.7543401157364
500,400,8000,90.237072988613
500,400,9000,92.2904610789621
500,400,10000,93.7838342355796
500,400,20000,99.2533134216912
500,400,30000,100.0
500,400,40000,100.0
500,400,50000,100.0
500,500,500,31.9581855516147
500,500,1000,41.7211125630017
500,500,2000,56.7855142803808
500,500,3000,67.7058054881464
500,500,4000,75.6393503826769
500,500,5000,81.5755086802315
500,500,6000,85.9996266567108
500,500,7000,89.378383423558
500,500,8000,91.9171177898077
500,500,9000,93.8958372223259
500,500,10000,95.2585402277394
500,500,20000,99.7013253686765
500,500,30000,100.0
500,500,40000,100.0
500,500,50000,100.0
500,1000,500,32.5182004853463
500,1000,1000,42.7104722792608
500,1000,2000,58.764233712899
500,1000,3000,70.0765353742766
500,1000,4000,78.2154190778421
500,1000,5000,84.3195818555161
500,1000,6000,88.7997013253687
500,1000,7000,92.029120776554
500,1000,8000,94.3998506626843
500,1000,9000,96.0238939705059
500,1000,10000,97.1999253313422
500,1000,20000,100.0
500,1000,30000,100.0
500,1000,40000,100.0
500,1000,50000,100.0
600,50,500,25.9100242673138
600,50,1000,28.8034347582602
600,50,2000,31.0248273287288
600,50,3000,31.8461825648684
600,50,4000,32.4621989919731
600,50,5000,32.7422064588389
600,50,6000,32.8915437745007
600,50,7000,32.9848795967892
600,50,8000,33.003546761247
600,50,9000,33.0222139257047
600,50,10000,33.0408810901624
600,50,20000,33.0968825835356
600,50,30000,33.0968825835356
600,50,40000,33.0968825835356
600,50,50000,33.0968825835356
600,100,500,28.9714392383797
600,100,1000,34.459585588949
600,100,2000,41.2731006160164
600,100,3000,44.1291767780474
600,100,4000,47.0412544334516
600,100,5000,48.8333022213926
600,100,6000,50.0466679111443
600,100,7000,51.1666977786074
600,100,8000,51.9880530147471
600,100,9000,52.5480679484786
600,100,10000,52.9587455665484
600,100,20000,54.5454545454545
600,100,30000,54.7507933544895
600,100,40000,54.7507933544895
600,100,50000,54.7507933544895
600,150,500,29.9421317901811
600,150,1000,37.0169871196565
600,150,2000,46.2945678551428
600,150,3000,50.5693485159604
600,150,4000,55.6841515773754
600,150,5000,59.2682471532574
600,150,6000,61.3776367369797
600,150,7000,63.3750233339556
600,150,8000,65.073735299608
600,150,9000,66.3244353182751
600,150,10000,67.4257980212806
600,150,20000,73.7913011013627
600,150,30000,75.5833488893037
600,150,40000,76.292701138697
600,150,50000,76.890050401344
600,200,500,30.5954825462012
600,200,1000,38.4543587829009
600,200,2000,49.3559828262087
600,200,3000,54.3587829008774
600,200,4000,60.7242859809595
600,200,5000,65.4284114243046
600,200,6000,68.0231472839276
600,200,7000,70.8792234459586
600,200,8000,73.1006160164271
600,200,9000,74.6313235019601
600,200,10000,76.292701138697
600,200,20000,84.9729326115363
600,200,30000,88.7623669964532
600,200,40000,90.8717565801755
600,200,50000,92.0104536120963
600,300,500,31.2675004666791
600,300,1000,39.8730632816875
600,300,2000,52.6600709352249
600,300,3000,58.3162217659138
600,300,4000,66.0070935224939
600,300,5000,71.4952398730633
600,300,6000,74.6499906664178
600,300,7000,78.3460892290461
600,300,8000,81.3141683778234
600,300,9000,83.2742206458839
600,300,10000,85.1036027627403
600,300,20000,94.1385103602763
600,300,30000,97.4425984692925
600,300,40000,98.93597162591
600,300,50000,99.6079895463879
600,400,500,31.6035094269181
600,400,1000,40.7317528467426
600,400,2000,54.4894530520814
600,400,3000,60.4629456785514
600,400,4000,68.8445025200672
600,400,5000,74.967332462199
600,400,6000,78.3274220645884
600,400,7000,82.2848609296248
600,400,8000,85.3462759006907
600,400,9000,87.1943251820048
600,400,10000,89.1357102856076
600,400,20000,97.274593989173
600,400,30000,99.271980586149
600,400,40000,100.0
600,400,50000,100.0
600,500,500,31.8275154004107
600,500,1000,41.2544334515587
600,500,2000,55.5161470972559
600,500,3000,61.7323128616763
600,500,4000,70.5618816501773
600,500,5000,77.0393877170058
600,500,6000,80.4928131416838
600,500,7000,84.5435878290088
600,500,8000,87.6236699645324
600,500,9000,89.3970505880157
600,500,10000,91.5251073361956
600,500,20000,98.6372969945865
600,500,30000,99.8879970132537
600,500,40000,100.0
600,500,50000,100.0
600,1000,500,32.4061974986
600,1000,1000,42.430464812395
600,1000,2000,58.0548814635057
600,1000,3000,64.4203845435878
600,1000,4000,73.7539667724473
600,1000,5000,80.5861489639724
600,1000,6000,83.7969012507
600,1000,7000,88.0903490759754
600,1000,8000,91.3944371849916
600,1000,9000,92.8691431771514
600,1000,10000,94.8291954452119
600,1000,20000,99.7759940265074
600,1000,30000,100.0
600,1000,40000,100.0
600,1000,50000,100.0
700,50,500,25.0700018667164
700,50,1000,27.0113869703192
700,50,2000,28.4487586335636
700,50,3000,29.3074481986186
700,50,4000,29.6621243233153
700,50,5000,29.8861302968079
700,50,6000,29.9794661190965
700,50,7000,30.0541347769274
700,50,8000,30.0728019413851
700,50,9000,30.0728019413851
700,50,10000,30.1101362703005
700,50,20000,30.1288034347583
700,50,30000,30.1288034347583
700,50,40000,30.1288034347583
700,50,50000,30.1288034347583
700,100,500,28.4300914691058
700,100,1000,33.0782154190778
700,100,2000,36.9796527907411
700,100,3000,40.8250886690312
700,100,4000,42.430464812395
700,100,5000,43.9611722979279
700,100,6000,44.9318648497293
700,100,7000,45.7905544147844
700,100,8000,46.3319021840582
700,100,9000,46.7612469665858
700,100,10000,47.1345902557402
700,100,20000,48.3292887810342
700,100,30000,48.4412917677805
700,100,40000,48.4412917677805
700,100,50000,48.4412917677805
700,150,500,29.4941198431958
700,150,1000,35.6356169497853
700,150,2000,41.0677618069815
700,150,3000,47.3025947358596
700,150,4000,50.4760126936718
700,150,5000,53.7427664737726
700,150,6000,55.4041441105096
700,150,7000,56.9535187605003
700,150,8000,58.5028934104909
700,150,9000,59.5109202912078
700,150,10000,60.5376143363823
700,150,20000,65.540414411051
700,150,30000,66.735112936345
700,150,40000,67.2204592122457
700,150,50000,67.2764607056188
700,200,500,30.2034720925891
700,200,1000,37.5396677244727
700,200,2000,43.6064961732313
700,200,3000,51.5400410677618
700,200,4000,55.310808288221
700,200,5000,59.9215979092776
700,200,6000,62.4229979466119
700,200,7000,64.476386036961
700,200,8000,66.8097815941758
700,200,9000,68.191151764047
700,200,10000,69.5725219339182
700,200,20000,77.8794101176031
700,200,30000,81.9301848049281
700,200,40000,83.3675564681725
700,200,50000,84.1515773753967
700,300,500,31.0434944931865
700,300,1000,39.2010453612096
700,300,2000,46.350569348516
700,300,3000,56.2068321821915
700,300,4000,60.55628150084
700,300,5000,66.3804368116483
700,300,6000,69.3858502893411
700,300,7000,72.2979279447452
700,300,8000,75.4526787380997
700,300,9000,77.5807354862796
700,300,10000,79.7087922344596
700,300,20000,89.2103789434385
700,300,30000,93.7091655777487
700,300,40000,95.7998879970133
700,300,50000,97.4052641403771
700,400,500,31.5101736046295
700,400,1000,40.2277394063842
700,400,2000,47.8439425051335
700,400,3000,58.7455665484413
700,400,4000,63.5803621429905
700,400,5000,70.1885383610229
700,400,6000,73.4926264700392
700,400,7000,76.5727086055628
700,400,8000,80.1381370169871
700,400,9000,82.2661937651671
700,400,10000,84.6369236512974
700,400,20000,94.2691805114803
700,400,30000,97.6666044427851
700,400,40000,99.0293074481986
700,400,50000,99.9066641777114
700,500,500,31.6595109202912
700,500,1000,40.8064215045734
700,500,2000,48.7026320701885
700,500,3000,60.2202725406011
700,500,4000,65.3724099309315
700,500,5000,72.3725966025761
700,500,6000,76.0686951652044
700,500,7000,79.0554414784394
700,500,8000,82.9008773567295
700,500,9000,84.8982639537054
700,500,10000,87.4743326488706
700,500,20000,96.6585775620683
700,500,30000,98.9733059548255
700,500,40000,99.9066641777114
700,500,50000,100.0
700,1000,500,32.2941945118537
700,1000,1000,42.1317901810715
700,1000,2000,50.8306888183685
700,1000,3000,63.5616949785328
700,1000,4000,68.8631696845249
700,1000,5000,76.7033787567669
700,1000,6000,80.1754713459026
700,1000,7000,83.3115549747993
700,1000,8000,87.6050028000747
700,1000,9000,89.6210565615083
700,1000,10000,92.2531267500467
700,1000,20000,99.2159790927758
700,1000,30000,100.0
700,1000,40000,100.0
700,1000,50000,100.0
800,50,500,24.3793167817808
800,50,1000,25.9100242673138
800,50,2000,26.9927198058615
800,50,3000,27.5714019040508
800,50,4000,27.8700765353743
800,50,5000,28.0567481799515
800,50,6000,28.1314168377823
800,50,7000,28.1687511666978
800,50,8000,28.1874183311555
800,50,9000,28.2060854956132
800,50,10000,28.2060854956132
800,50,20000,28.2060854956132
800,50,30000,28.2060854956132
800,50,40000,28.2060854956132
800,50,50000,28.2060854956132
800,100,500,27.4407317528467
800,100,1000,31.6781780847489
800,100,2000,35.0756020160538
800,100,3000,37.2969945865223
800,100,4000,38.9210378943439
800,100,5000,40.3210752286728
800,100,6000,41.105096135897
800,100,7000,41.6464439051708
800,100,8000,42.1691245099869
800,100,9000,42.4864663057682
800,100,10000,42.7104722792608
800,100,20000,43.6438305021467
800,100,30000,43.7371663244353
800,100,40000,43.7371663244353
800,100,50000,43.7371663244353
800,150,500,29.1021093895837
800,150,1000,34.5529214112376
800,150,2000,39.3503826768714
800,150,3000,43.0838155684152
800,150,4000,46.1638977039388
800,150,5000,49.2813141683778
800,150,6000,50.7746873249953
800,150,7000,52.0627216725779
800,150,8000,53.2760873623297
800,150,9000,54.3961172297928
800,150,10000,55.1428038081015
800,150,20000,59.0815755086802
800,150,30000,59.8655964159044
800,150,40000,60.1642710472279
800,150,50000,60.1642710472279
800,200,500,29.9421317901811
800,200,1000,36.5503080082135
800,200,2000,42.2251260033601
800,200,3000,46.7052454732126
800,200,4000,50.5693485159604
800,200,5000,55.2734739593056
800,200,6000,57.5882023520627
800,200,7000,59.6229232779541
800,200,8000,61.3776367369797
800,200,9000,63.1510173604629
800,200,10000,64.2337128990106
800,200,20000,71.4205712152324
800,200,30000,74.6126563375023
800,200,40000,75.5833488893037
800,200,50000,76.162030987493
800,300,500,30.7821541907784
800,300,1000,38.5850289341049
800,300,2000,45.2678738099683
800,300,3000,50.9426918051148
800,300,4000,55.6094829195445
800,300,5000,61.8069815195072
800,300,6000,65.0177338062348
800,300,7000,67.7804741459772
800,300,8000,70.2072055254807
800,300,9000,73.0259473585962
800,300,10000,74.6499906664178
800,300,20000,84.6369236512974
800,300,30000,89.4530520813888
800,300,40000,92.1971252566735
800,300,50000,93.7278327422065
800,400,500,31.2675004666791
800,400,1000,39.705058801568
800,400,2000,46.9292514467052
800,400,3000,53.1267500466679
800,400,4000,58.3162217659138
800,400,5000,65.540414411051
800,400,6000,68.9565055068135
800,400,7000,71.980586148964
800,400,8000,74.6499906664178
800,400,9000,77.82340862423
800,400,10000,79.9701325368677
800,400,20000,90.703752100056
800,400,30000,95.2398730632817
800,400,40000,97.4425984692925
800,400,50000,98.6559641590442
800,500,500,31.5475079335449
800,500,1000,40.3584095575882
800,500,2000,47.9186111629643
800,500,3000,54.4147843942505
800,500,4000,59.9962665671085
800,500,5000,67.7991413104349
800,500,6000,71.4765727086056
800,500,7000,74.7246593242486
800,500,8000,77.5247339929065
800,500,9000,80.9781594175845
800,500,10000,83.1622176591376
800,500,20000,93.9145043867836
800,500,30000,97.5359342915811
800,500,40000,98.9173044614523
800,500,50000,99.8506626843383
800,1000,500,32.1821915251073
800,1000,1000,41.963785700952
800,1000,2000,50.3640097069255
800,1000,3000,57.4015307074855
800,1000,4000,63.4310248273287
800,1000,5000,72.4285980959492
800,1000,6000,76.2553668097816
800,1000,7000,79.7647937278327
800,1000,8000,82.8635430278141
800,1000,9000,86.7089789061042
800,1000,10000,88.7810341609109
800,1000,20000,98.207952212059
800,1000,30000,99.7199925331342
800,1000,40000,100.0
800,1000,50000,100.0
900,50,500,23.707298861303
900,50,1000,24.8273287287661
900,50,2000,25.5740153070749
900,50,3000,25.966025760687
900,50,4000,26.1900317341796
900,50,5000,26.3207018853836
900,50,6000,26.4327048721299
900,50,7000,26.4700392010454
900,50,8000,26.4887063655031
900,50,9000,26.5073735299608
900,50,10000,26.5260406944185
900,50,20000,26.5260406944185
