"nº";"Cidade""Demanda";"Area";"Volume";"EficienciaGlobal"
"122";"Aceguá";"200";"50";"1000";"50.5693485159604"
"123";"Aceguá";"200";"50";"2000";"61.3776367369797"
"124";"Aceguá";"200";"50";"3000";"66.3244353182751"
"125";"Aceguá";"200";"50";"4000";"69.3298487959679"
"126";"Aceguá";"200";"50";"5000";"71.4205712152324"
"127";"Aceguá";"200";"50";"6000";"72.9886130296808"
"128";"Aceguá";"200";"50";"7000";"74.2579802128057"
"129";"Aceguá";"200";"50";"8000";"74.9113309688258"
"130";"Aceguá";"200";"50";"9000";"75.3033414224379"
"131";"Aceguá";"200";"50";"10000";"75.5833488893037"
"132";"Aceguá";"200";"50";"20000";"77.1700578682098"
"133";"Aceguá";"200";"50";"30000";"77.1700578682098"
"134";"Aceguá";"200";"50";"40000";"77.1700578682098"
"135";"Aceguá";"200";"50";"50000";"77.1700578682098"
"136";"Aceguá";"200";"100";"500";"46.9292514467052"
"137";"Aceguá";"200";"100";"1000";"58.3162217659138"
"138";"Aceguá";"200";"100";"2000";"74.6499906664178"
"139";"Aceguá";"200";"100";"3000";"83.2742206458839"
"140";"Aceguá";"200";"100";"4000";"87.717005786821"
"141";"Aceguá";"200";"100";"5000";"90.703752100056"
"142";"Aceguá";"200";"100";"6000";"93.0371476572709"
"143";"Aceguá";"200";"100";"7000";"94.5678551428038"
"144";"Aceguá";"200";"100";"8000";"95.7438865036401"
"145";"Aceguá";"200";"100";"9000";"96.7519133843569"
"146";"Aceguá";"200";"100";"10000";"97.4425984692925"
"147";"Aceguá";"200";"100";"20000";"100"
"148";"Aceguá";"200";"100";"30000";"100"
"149";"Aceguá";"200";"100";"40000";"100"
"150";"Aceguá";"200";"100";"50000";"100"
"151";"Aceguá";"200";"150";"500";"48.739966399104"
"152";"Aceguá";"200";"150";"1000";"61.2656337502333"
"153";"Aceguá";"200";"150";"2000";"79.6527907410864"
"154";"Aceguá";"200";"150";"3000";"88.5196938585029"
"155";"Aceguá";"200";"150";"4000";"93.2051521373903"
"156";"Aceguá";"200";"150";"5000";"95.818555161471"
"157";"Aceguá";"200";"150";"6000";"97.4239313048348"
"158";"Aceguá";"200";"150";"7000";"98.338622363263"
"159";"Aceguá";"200";"150";"8000";"98.9733059548255"
"160";"Aceguá";"200";"150";"9000";"99.3653164084376"
"161";"Aceguá";"200";"150";"10000";"99.6826582042188"
"162";"Aceguá";"200";"150";"20000";"100"
"163";"Aceguá";"200";"150";"30000";"100"
"164";"Aceguá";"200";"150";"40000";"100"
"165";"Aceguá";"200";"150";"50000";"100"
"166";"Aceguá";"200";"200";"500";"49.6733246219899"
"167";"Aceguá";"200";"200";"1000";"62.6656710845623"
"168";"Aceguá";"200";"200";"2000";"81.5755086802315"
"169";"Aceguá";"200";"200";"3000";"90.6850849355983"
"170";"Aceguá";"200";"200";"4000";"95.2585402277394"
"171";"Aceguá";"200";"200";"5000";"97.5172671271234"
"172";"Aceguá";"200";"200";"6000";"98.7119656524174"
"173";"Aceguá";"200";"200";"7000";"99.3466492439798"
"174";"Aceguá";"200";"200";"8000";"99.7013253686765"
"175";"Aceguá";"200";"200";"9000";"99.8879970132537"
"176";"Aceguá";"200";"200";"10000";"99.9626656710846"
"177";"Aceguá";"200";"200";"20000";"100"
"178";"Aceguá";"200";"200";"30000";"100"
"179";"Aceguá";"200";"200";"40000";"100"
"180";"Aceguá";"200";"200";"50000";"100"
"181";"Aceguá";"200";"300";"500";"50.7746873249953"
"182";"Aceguá";"200";"300";"1000";"64.0657084188912"
"183";"Aceguá";"200";"300";"2000";"83.4982266193765"
"184";"Aceguá";"200";"300";"3000";"92.5891357102856"
"185";"Aceguá";"200";"300";"4000";"96.6025760686952"
"186";"Aceguá";"200";"300";"5000";"98.5252940078402"
"187";"Aceguá";"200";"300";"6000";"99.3839835728953"
"188";"Aceguá";"200";"300";"7000";"99.7759940265074"
"189";"Aceguá";"200";"300";"8000";"99.9439985066268"
"190";"Aceguá";"200";"300";"9000";"100"
"191";"Aceguá";"200";"300";"10000";"100"
"192";"Aceguá";"200";"300";"20000";"100"
"193";"Aceguá";"200";"300";"30000";"100"
"194";"Aceguá";"200";"300";"40000";"100"
"195";"Aceguá";"200";"300";"50000";"100"
"196";"Aceguá";"200";"400";"500";"51.2973679298115"
"197";"Aceguá";"200";"400";"1000";"64.8310621616577"
"198";"Aceguá";"200";"400";"2000";"84.3195818555161"
"199";"Aceguá";"200";"400";"3000";"93.2611536307635"
"200";"Aceguá";"200";"400";"4000";"97.1999253313422"
"201";"Aceguá";"200";"400";"5000";"98.9733059548255"
"202";"Aceguá";"200";"400";"6000";"99.7199925331342"
"203";"Aceguá";"200";"400";"7000";"99.9253313421691"
"204";"Aceguá";"200";"400";"8000";"100"
"205";"Aceguá";"200";"400";"9000";"100"
"206";"Aceguá";"200";"400";"10000";"100"
"207";"Aceguá";"200";"400";"20000";"100"
"208";"Aceguá";"200";"400";"30000";"100"
"209";"Aceguá";"200";"400";"40000";"100"
"210";"Aceguá";"200";"400";"50000";"100"
